brand,batch_no,batch_start,mash_pH,final_runnings_pH,preboil_gravity,knockout_gravity,knockout_pH
bba,1,5/30/20 8:58,5.6,5.26,10.5,12.2,5.3
bba,16,7/16/20 6:40,5.31,5.27,9.4,11.6,5.04
bba,16,7/17/20 6:28,5.23,5.13,9.6,11.4,5.1
bba,20,7/30/20 7:33,5.29,5.17,10,12.3,4.9
bba,27,9/1/20 7:34,5.38,5.16,,12.7,5.02
bba,27,9/1/20 11:11,5.38,5.2,,12.3,4.9
bba,36,9/22/20 6:39,5.4,5.22,9.4,11.6,5.08
bba,40,10/7/20 7:20,5.21,5.26,9,11.6,5
bba,55,1/5/21 7:03,5.37,5.08,,12,5.04
bba,55,1/5/21 10:52,5.15,5.19,,12.8,5.02
bba,61,1/25/21 11:08,5.29,5.18,,12.3,5.08
bba,70,2/12/21 6:15,5.3,5.21,10,11.8,4.96
bba,70,2/12/21 9:00,5.36,,11,13,5.17
bba,77,3/11/21 7:05,5.29,5.26,9.6,12,5.05
bba,82,3/31/21 10:35,5.28,4.3,11.2,12.7,5.04
bba,82,4/1/21 7:09,5.31,5.44,10.2,11.7,5.23
bba,87,4/14/21 6:15,5.42,5.15,10.4,12.2,5.03
bba,87,4/14/21 9:55,5.21,,10,11.7,5.07
bba,92,4/26/21 6:24,5.35,5.36,11.6,12.6,4.99
bba,92,4/26/21 10:04,5.39,5.43,10.4,12.2,5.22
bba,98,5/8/21 9:25,5.27,,10.6,12.9,5.13
bba,100,5/14/21 5:55,5.25,5.21,10.8,12.6,5.02
bba,100,5/14/21 9:05,5.42,5.24,10,12.1,5.06
bba,108,6/3/21 5:45,5.22,5.22,10.2,12.3,5.02
bba,108,6/3/21 9:00,5.32,5.24,10.2,12.2,5.07
bba,112,6/15/21 9:05,5.17,5.2,10,12.4,4.94
bba,114,6/24/21 6:25,5.23,5.15,11.8,12.6,5.03
bba,114,6/24/21 9:45,5.25,5.21,11,11.7,5.02
bba,119,7/12/21 5:31,5.22,5.14,10.2,11.7,4.94
bba,119,7/12/21 8:45,5.22,,10,12.3,4.98
bba,125,7/22/21 5:40,5.14,5.04,10.6,11.9,4.86
bba,125,7/22/21 8:54,5.24,5.26,9.6,11.8,5.03
bba,132,8/4/21 5:36,,5.09,12,12.6,4.86
bba,132,8/4/21 8:50,5.14,,10.6,12.3,5.06
bba,143,9/6/21 5:35,5.12,4.94,9.6,11.5,4.74
bba,143,9/6/21 8:50,4.99,,11.6,13,4.88
bba,149,9/27/21 7:20,5.18,5.04,11.4,12.4,4.97
bba,167,11/10/21 5:25,5.23,5.29,11.4,12.4,4.97
bba,167,11/10/21 8:38,5.28,5.36,11,12.4,5.1
bba,177,12/13/21 5:45,5.39,5.44,11.2,12,5.12
bba,177,12/13/21 9:09,5.25,5.56,10.6,11.8,5.21
bba,184,1/3/22 7:45,5.32,5.31,11.5,11.8,5.02
bba,189,1/17/22 5:54,5.26,5.26,10.8,11.8,5
bba,189,1/17/22 9:22,5.28,,11.6,12.3,5.08
bba,195,2/2/22 7:08,5.27,5.39,10.8,11.6,5.11
bba,201,2/21/22 5:27,5.23,5.44,10,10.6,5.04
bba,201,2/21/22 9:02,5.26,5.38,10.6,11.5,5.18
bba,205,3/2/22 5:25,5.25,,10.6,12,5.06
bba,207,3/9/22 5:40,5.21,5.44,,12,5.06
bba,207,3/9/22 8:53,5.25,5.42,,12,5.22
bba,211,3/16/22 5:36,5.26,5.52,10.6,11.7,5.11
bba,211,3/16/22 8:52,5.19,5.44,10.8,12.1,5.16
bba,215,3/28/22 5:35,5.21,5.47,10,11.3,5.02
bba,215,3/28/22 8:53,5.23,5.38,11,12.4,5.12
bba,220,4/7/22 5:29,5.24,5.33,10.2,11.8,4.97
bba,220,4/7/22 8:44,5.32,,,12.1,5.1
bba,233,4/29/22 5:24,5.28,5.54,10.2,11.7,5.1
bba,233,4/29/22 9:00,5.14,5.45,,12.2,5.15
bba,239,5/11/22 5:36,5.16,5.36,10.4,11.7,4.38
bba,239,5/11/22 8:53,5.05,5.43,10.6,12.3,5.15
bba,240,5/16/22 7:15,5.34,5.44,9.8,12.1,5.22
bba,244,5/23/22 5:35,5.21,5.48,10,11.6,4.83
bba,244,5/23/22 9:02,,5.45,10.6,12.6,5.11
bba,248,6/2/22 5:35,5.28,5.45,10.2,11.9,5.07
bba,248,6/2/22 9:10,5.31,5.51,10.2,12.4,5.21
bba,260,6/27/22 6:50,5.21,2.45,,11.8,5.04
bba,264,7/11/22 5:42,5.18,5.4,10.5,11.7,5.04
bba,264,7/11/22 9:15,5.12,,11.4,12.3,5.11
bba,271,7/28/22 5:25,,5.35,11,11.8,4.96
bba,271,7/28/22 9:23,5.26,5.42,,12.2,5.12
bba,277,8/10/22 5:30,5.18,5.38,11,12.2,4.92
bba,277,8/10/22 8:58,5.2,5.44,11.5,12.4,5.14
bba,281,8/17/22 5:35,5.2,5.45,,11.5,4.96
bba,281,8/17/22 9:15,4.92,5.39,11.4,12.3,5.07
bba,282,8/31/22 5:38,5.24,5.18,11.6,11.6,4.92
bba,282,8/31/22 8:54,5.18,5.18,10.2,11.9,5.03
bba,300,10/3/22 5:43,5.31,5.32,11.3,12,4.95
bba,300,10/3/22 9:27,5.34,5.14,11.2,11.4,5.02
bba,306,10/26/22 5:33,5.2,5.24,10.8,11.4,5.01
bba,306,10/26/22 9:14,5.24,5.29,11.4,12,5.04
bba,315,11/16/22 5:40,5.2,5.31,12.1,12.7,5.09
bba,315,11/16/22 9:25,5.3,5.31,10.5,12.2,5.21
bba,319,11/28/22 5:38,,5.26,11,11.6,4.9
bba,319,11/28/22 9:00,5.3,5.24,10,12,5.08
bba,339,1/30/23 5:46,5.31,5.34,11.6,12.2,5.03
bba,339,1/30/23 9:19,5.31,5.35,11.2,12.5,5.09
bba,346,2/13/23 5:37,5.29,5.19,11.5,12,4.98
bba,346,2/13/23 9:11,5.3,5.24,10.5,11.9,5.04
bba,353,2/27/23 5:31,5.25,5.28,11.8,12.5,4.96
bba,353,2/27/23 9:16,5.3,5.2,11.4,12.2,5.02
bba,359,3/9/23 5:32,5.26,5.31,,12.5,4.98
bba,359,3/9/23 9:07,5.28,5.31,11.3,12.2,5.1
bba,363,3/15/23 5:35,5.19,5.34,10.2,11.9,5.04
bba,363,3/15/23 9:11,5.28,5.32,10.3,12.1,5.08
bba,370,3/24/23 5:30,5.34,5.37,10.7,12.1,5.03
bba,370,3/24/23 9:03,5.18,5.22,11.3,12.2,5.06
bba,378,4/12/23 5:32,5.22,5.19,10.8,12,4.99
bba,378,4/12/23 9:18,5.22,5.27,11.3,11.9,5.04
bba,386,4/24/23 5:33,5.3,5.38,11.3,12.1,5.04
bba,386,4/24/23 9:33,5.18,5.38,11.7,12.4,5.12
bba,396,5/15/23 5:41,5.18,,10.9,12.3,5.06
bba,396,5/15/23 9:33,5.32,5.37,11.5,12,5.07
