chromosome_name,external_gene_name,external_transcript_name,transcript_length,description
1,FAM231B,FAM231B-201,510,family with sequence similarity 231 member B [Source:HGNC Symbol;Acc:HGNC:49506]
1,ZC3H11A,ZC3H11A-205,682,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-206,1892,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-202,5877,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-204,3451,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-214,11825,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-203,3004,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,ZC3H11A,ZC3H11A-201,5015,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
1,MYBPH,MYBPH-201,1805,myosin binding protein H [Source:HGNC Symbol;Acc:HGNC:7552]
1,MYBPH,MYBPH-202,1772,myosin binding protein H [Source:HGNC Symbol;Acc:HGNC:7552]
1,CD34,CD34-201,8246,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
1,CD34,CD34-203,2538,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
1,CD34,CD34-202,2874,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
1,LMOD1,LMOD1-201,3970,leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]
1,LMOD1,LMOD1-202,3058,leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]
1,SLC5A9,SLC5A9-210,2219,solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]
1,SLC5A9,SLC5A9-203,3195,solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]
1,SLC5A9,SLC5A9-201,3272,solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]
1,CD53,CD53-201,1505,CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]
1,NID1,NID1-202,5412,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
1,NID1,NID1-201,5864,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
1,CD46,CD46-205,3371,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-203,3233,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-202,3124,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-208,3326,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-207,3281,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-204,3188,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-201,3278,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-209,3089,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-206,3081,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-214,1258,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,CD46,CD46-210,473,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
1,MECR,MECR-202,2416,mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]
1,MECR,MECR-201,1353,mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]
1,C8B,C8B-201,2037,complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]
1,C8B,C8B-205,2289,complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]
1,C8B,C8B-206,2382,complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]
1,UBQLN4,UBQLN4-201,3576,ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237]
1,B3GALNT2,B3GALNT2-202,2015,"beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]"
1,B3GALNT2,B3GALNT2-201,1874,"beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]"
1,AL672043.1,AL672043.1-201,395,"Homo sapiens uncharacterized LOC110117498 (LOC110117498), mRNA. [Source:RefSeq mRNA;Acc:NM_001328655]"
1,PIK3R3,PIK3R3-201,5609,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
1,PIK3R3,PIK3R3-202,5019,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
1,PIK3R3,PIK3R3-204,1884,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
1,PIK3R3,PIK3R3-205,753,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
1,PIK3R3,PIK3R3-203,5174,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
1,CYB5RL,CYB5RL-201,5777,cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]
1,CYB5RL,CYB5RL-209,1148,cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]
1,CYB5RL,CYB5RL-206,602,cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]
